
6063,4011,4796
4434,3962,3329
3512,4728,4733
6317,4122,4201
5063,4176,5168
6349,3654,3969
6337,3867,5683
4571,4221,4519
3427,4292,3960
3146,4317,3370
2912,4240,4599
3605,3673,3388
2729,3346,3856
3789,4333,2628
3386,3623,3006
3995,4338,3160
3374,2891,4762
3305,3887,4028
3329,5041,4006
5157,3818,4648
4844,3569,3600
5537,3966,3817
3780,4666,4165
5690,4882,3940
3743,5221,5742
4634,4326,3338
5491,3020,4759
6054,5149,8294
9143,5691,5122
8879,7162,8753
4951,5807,6298
4899,9132,5466
8217,5802,5580
7460,7525,7037
5188,8162,7390
7363,8243,5195
5244,8514,8402
7431,8928,8420
7377,7899,8320
8075,4735,7610
6232,9349,7630
8818,8384,9102
6971,7467,7949
5711,7093,8320
8403,5042,6280
5164,5772,4844
7371,7483,8470
7835,5622,6967
7641,7254,7767
9422,8818,8289
5202,3326,3354
6004,3179,4097
5548,6002,5799
3339,5255,3682
4185,4020,4749
5767,3593,4254
5506,4781,5342
4916,5384,3514
5225,4516,3421
4906,4931,4842
3473,4656,5218
3649,4622,4273
5052,5503,4291
6265,5982,5167
3789,4682,3827
5660,5616,5506
4578,3756,5355
4948,3430,5809
3993,5729,5531
6577,8495,6120
8502,6850,8476
7450,6845,5081
5030,5959,8325
6360,7524,5594
8748,7297,8096
7173,7748,7459
7981,7885,6398
6219,6266,6254
6352,5750,4342
4189,4261,6200
4072,6142,5659
6103,3731,4481
5937,3771,3404
4128,4772,4621
4961,4078,5807
4515,4005,4853
3424,4890,4481
4418,6296,4877
5256,6095,4310
5282,6334,6355
5706,5792,6415
7824,5250,8494
6016,8143,6497
6068,7224,5039
4917,5144,6973
4455,7557,5898
8057,6450,7941
6448,5596,4384
4658,6281,7257
4380,8128,6975
6785,8084,6848
6058,6040,5390
5475,8205,5522
6112,7953,7839
6066,5121,6279
5239,7153,7259
6173,4456,4817
4286,4631,6266
6716,5086,6085
5997,5417,6541
7961,6849,6208
5249,7707,6239
4586,6750,7552
5344,5706,5079
6576,6378,5252
8159,5193,4402
5107,8114,7395
5790,4774,6136
6593,7509,6970
3631,5805,4090
3799,4358,5050
3130,4338,3638
5170,5038,3896
4231,3899,5660
4643,3667,4574
4996,4516,4176
4928,5613,4954
5998,5615,5421
5137,3343,4430
3983,5558,5449
5011,4022,2932
4596,3428,4551
5031,4772,4499
4496,4363,3000
4401,4400,2884
3564,4880,5064
4668,3181,4928
3583,3362,2936
4956,4488,4131
6070,5737,9385
8771,8411,8340
8188,7818,6772
7654,7655,5303
7088,5548,5274
3108,3752,4946
2584,5095,3988
5031,3098,2629
4908,4523,4696
3400,3310,2623
2728,4502,4346
2960,4662,5028
3714,3353,2846
4043,3183,4175
2901,2635,4944
4498,3261,3743
2993,2850,3128
3405,4830,4164
2751,4392,4145
4945,4785,3462
7033,7286,5184
7609,5994,6412
7932,6447,6238
6872,6551,6430
4414,6937,4485
6431,4315,7906
4493,6144,6554
4347,4664,4598
5348,6499,5247
5100,6421,6783
4176,5556,6077
4912,3920,6000
5652,5440,3909
5666,4113,6052
6394,4875,4203
5521,3927,6220
6104,4762,4629
4919,4322,5779
5948,7968,7108
5807,4109,5272
4520,6567,4878
6251,7292,7671
7829,4499,7464
4786,7325,7347
8031,7459,7049
4211,7808,6492
5677,5708,5069
5987,4765,6502
5727,6198,6153
7855,6624,4578
5244,6381,4470
4980,6083,5019
7011,7015,5658
4106,6204,6856
5092,6756,4027
4318,5415,3753
4359,4894,6069
4131,4846,7135
5796,5516,6364
4672,6657,4934
5292,3971,5743
6517,7073,7024
7263,6882,4207
6404,5838,6850
6360,5800,5517
4335,6235,4835
3771,6749,3590
5590,5359,6690
4657,5588,5313
5026,3532,4015
5295,3529,5467
6357,5845,5199
3692,4420,4392
4910,4238,3700
3959,4504,4496
6297,5665,4784
6404,5741,5292
5823,6837,6645
8621,8130,6553
8691,8594,5396
7885,7917,5733
7097,5228,6142
5178,8368,8521
8222,6160,7712
6630,8405,7327
8644,4538,5612
5123,7759,7434
8925,5247,5401
6179,6338,6269
6419,6392,8854
4795,4336,3947
4551,4708,4657
3227,3794,3804
3129,3975,3866
3094,4680,4973
2882,3355,4806
2988,4156,4659
4252,2712,4313
4205,3402,4649
4114,3604,3076
2630,4020,3086
3075,2793,3485
4372,3580,4759
4382,5078,3802
3371,4000,2908
4404,3837,2753
4047,4404,3819
3809,2696,4257
5332,4446,5427
